wl,k
1,1.2323393
1.0015606,1.2195478
1.003126,1.206621
1.0046964,1.1935637
1.0062717,1.1803811
1.0078519,1.1670785
1.0094371,1.1536617
1.0110273,1.1401365
1.0126226,1.126509
1.0142228,1.1127856
1.0158282,1.0989729
1.0174386,1.0850776
1.0190541,1.0711066
1.0206748,1.0570671
1.0223006,1.0429662
1.0239316,1.0288116
1.0255679,1.0146106
1.0272093,1.0003709
1.0288561,0.98610032
1.0305081,0.97180664
1.0321654,0.95749775
1.0338281,0.94318158
1.0354961,0.92886608
1.0371696,0.91455921
1.0388484,0.9002689
1.0405327,0.88600307
1.0422225,0.87176958
1.0439177,0.85757622
1.0456185,0.84343071
1.0473249,0.82934064
1.0490368,0.81531351
1.0507543,0.80135667
1.0524775,0.78747732
1.0542063,0.77368251
1.0559408,0.75997909
1.057681,0.74637375
1.059427,0.73287295
1.0611787,0.71948294
1.0629362,0.70620977
1.0646996,0.69305922
1.0664688,0.68003687
1.068244,0.66714803
1.070025,0.65439777
1.071812,0.64179087
1.073605,0.6293319
1.0754039,0.61702513
1.077209,0.60487458
1.0790201,0.59288399
1.0808372,0.58105684
1.0826606,0.56939635
1.08449,0.55790548
1.0863257,0.54658691
1.0881676,0.53544308
1.0900158,0.52447617
1.0918702,0.51368812
1.093731,0.50308061
1.0955981,0.4926551
1.0974716,0.48241281
1.0993515,0.47235474
1.1012379,0.46248166
1.1031308,0.45279417
1.1050301,0.44329262
1.1069361,0.43397719
1.1088486,0.4248479
1.1107677,0.41590455
1.1126935,0.4071468
1.114626,0.39857415
1.1165652,0.39018595
1.1185111,0.38198141
1.1204639,0.3739596
1.1224235,0.36611949
1.1243899,0.35845992
1.1263633,0.35097963
1.1283436,0.34367726
1.1303309,0.33655138
1.1323251,0.32960045
1.1343265,0.32282291
1.1363349,0.31621708
1.1383504,0.30978128
1.1403731,0.30351375
1.1424031,0.2974127
1.1444402,0.29147632
1.1464846,0.28570277
1.1485364,0.2800902
1.1505955,0.27463674
1.152662,0.26934054
1.1547359,0.26419975
1.1568173,0.25921251
1.1589062,0.25437702
1.1610027,0.24969148
1.1631068,0.24515415
1.1652185,0.2407633
1.1673379,0.23651728
1.1694651,0.23241448
1.1715999,0.22845336
1.1737427,0.22463247
1.1758932,0.2209504
1.1780517,0.21740587
1.180218,0.21399768
1.1823924,0.21072475
1.1845748,0.20758611
1.1867653,0.20458091
1.1889639,0.20170847
1.1911706,0.19896824
1.1933856,0.19635986
1.1956088,0.19388316
1.1978403,0.19153815
1.2000801,0.1893251
1.2023284,0.18724449
1.2045851,0.18529712
1.2068502,0.18348407
1.2091239,0.18180676
1.2114062,0.180267
1.2136971,0.17886701
1.2159968,0.1776095
1.2183051,0.17649772
1.2206222,0.17553551
1.2229481,0.17472744
1.225283,0.17407885
1.2276267,0.17359599
1.2299795,0.17328618
1.2323412,0.17315797
1.2347121,0.17322134
1.2370921,0.17348796
1.2394813,0.1739715
1.2418798,0.17468801
1.2442875,0.1756564
1.2467046,0.17689903
1.2491311,0.17844249
1.2515671,0.18031855
1.2540126,0.18256539
1.2564676,0.18522928
1.2589323,0.18836665
1.2614067,0.192047
1.2638908,0.19635668
1.2663848,0.20140412
1.2688886,0.20732697
1.2714023,0.21430194
1.273926,0.22255843
1.2764597,0.23239726
1.2790036,0.24421558
1.2815576,0.25853764
1.2841218,0.27604562
1.2866963,0.29758966
1.2892811,0.3241249
1.2918763,0.35648609
1.2944821,0.39495168
1.2970983,0.43880537
1.2997252,0.48637314
1.3023627,0.53565872
1.3050109,0.58501727
1.3076699,0.6334039
1.3103398,0.68028286
1.3130206,0.72544626
1.3157124,0.76886796
1.3184153,0.81061215
1.3211292,0.85078253
1.3238544,0.88949567
1.3265909,0.92686781
1.3293387,0.96300879
1.3320979,0.99801961
1.3348685,1.0319918
1.3376507,1.0650079
1.3404446,1.0971418
1.3432501,1.12846
1.3460674,1.159022
1.3488966,1.1888814
1.3517376,1.2180867
1.3545907,1.2466814
1.3574558,1.2747053
1.3603331,1.3021942
1.3632226,1.329181
1.3661244,1.3556956
1.3690385,1.3817656
1.3719652,1.4074161
1.3749044,1.4326705
1.3778562,1.45755
1.3808207,1.4820747
1.3837979,1.5062628
1.3867881,1.5301316
1.3897912,1.5536968
1.3928073,1.5769735
1.3958366,1.5999755
1.398879,1.6227157
1.4019348,1.6452065
1.4050039,1.6674591
1.4080865,1.6894846
1.4111827,1.7112929
1.4142925,1.7328937
1.417416,1.754296
1.4205534,1.7755085
1.4237046,1.7965392
1.4268699,1.8173958
1.4300493,1.8380858
1.4332429,1.8586159
1.4364508,1.878993
1.4396731,1.8992232
1.4429099,1.9193126
1.4461613,1.939267
1.4494273,1.9590918
1.4527082,1.9787923
1.4560039,1.9983736
1.4593146,2.0178404
1.4626404,2.0371975
1.4659814,2.0564491
1.4693377,2.0755997
1.4727094,2.0946533
1.4760966,2.1136139
1.4794994,2.1324853
1.482918,2.1512711
1.4863524,2.1699749
1.4898027,2.1886001
1.4932691,2.20715
1.4967516,2.2256278
1.5002505,2.2440366
1.5037657,2.2623793
1.5072974,2.2806588
1.5108458,2.298878
1.5144109,2.3170396
1.5179929,2.3351461
1.5215919,2.3532002
1.5252079,2.3712043
1.5288412,2.3891609
1.5324919,2.4070722
1.53616,2.4249407
1.5398458,2.4427684
1.5435492,2.4605576
1.5472705,2.4783104
1.5510098,2.4960287
1.5547673,2.5137148
1.5585429,2.5313704
1.562337,2.5489976
1.5661496,2.5665981
1.5699808,2.5841739
1.5738308,2.6017266
1.5776997,2.6192581
1.5815877,2.6367701
1.585495,2.6542642
1.5894215,2.6717421
1.5933676,2.6892055
1.5973333,2.7066558
1.6013188,2.7240946
1.6053243,2.7415235
1.6093498,2.758944
1.6133956,2.7763576
1.6174617,2.7937656
1.6215485,2.8111695
1.6256559,2.8285707
1.6297841,2.8459706
1.6339334,2.8633706
1.6381039,2.880772
1.6422957,2.8981761
1.6465091,2.9155841
1.6507441,2.9329975
1.6550009,2.9504175
1.6592798,2.9678453
1.6635808,2.9852821
1.6679042,3.0027292
1.6722501,3.0201878
1.6766188,3.0376591
1.6810103,3.0551443
1.6854249,3.0726445
1.6898627,3.0901609
1.694324,3.1076947
1.6988088,3.125247
1.7033175,3.1428188
1.7078502,3.1604115
1.7124071,3.1780259
1.7169883,3.1956634
1.7215942,3.2133249
1.7262248,3.2310115
1.7308804,3.2487243
1.7355611,3.2664645
1.7402673,3.284233
1.744999,3.302031
1.7497566,3.3198594
1.7545401,3.3377194
1.7593499,3.3556119
1.7641861,3.3735381
1.769049,3.391499
1.7739388,3.4094956
1.7788557,3.427529
1.7837999,3.4456001
1.7887717,3.46371
1.7937712,3.4818598
1.7987988,3.5000504
1.8038546,3.5182829
1.808939,3.5365583
1.8140521,3.5548776
1.8191942,3.5732419
1.8243655,3.5916522
1.8295663,3.6101094
1.8347968,3.6286147
1.8400573,3.647169
1.8453481,3.6657734
1.8506694,3.6844288
1.8560215,3.7031363
1.8614046,3.721897
1.866819,3.7407118
1.8722651,3.7595819
1.8777429,3.7785081
1.883253,3.7974916
1.8887955,3.8165335
1.8943707,3.8356346
1.8999789,3.8547962
1.9056204,3.8740191
1.9112955,3.8933046
1.9170045,3.9126536
1.9227477,3.9320673
1.9285254,3.9515466
1.934338,3.9710926
1.9401857,3.9907065
1.9460689,4.0103893
1.9519878,4.0301421
1.9579429,4.049966
1.9639344,4.0698621
1.9699627,4.0898314
1.9760282,4.1098752
1.982131,4.1299945
1.9882717,4.1501905
1.9944506,4.1704643
2.000668,4.1908169
2.0069243,4.2112497
2.0132198,4.2317637
2.019555,4.2523602
2.0259301,4.2730402
2.0323456,4.293805
2.0388019,4.3146557
2.0452993,4.3355936
2.0518383,4.3566199
2.0584192,4.3777358
2.0650425,4.3989425
2.0717086,4.4202413
2.0784178,4.4416335
2.0851706,4.4631202
2.0919674,4.4847028
2.0988087,4.5063826
2.1056949,4.5281608
2.1126264,4.5500388
2.1196037,4.572018
2.1266272,4.5940995
2.1336975,4.6162849
2.1408149,4.6385753
2.1479799,4.6609724
2.1551931,4.6834773
2.1624549,4.7060916
2.1697658,4.7288166
2.1771262,4.7516539
2.1845368,4.7746047
2.191998,4.7976707
2.1995104,4.8208533
2.2070744,4.8441539
2.2146907,4.8675741
2.2223596,4.8911155
2.2300819,4.9147796
2.237858,4.9385679
2.2456886,4.9624821
2.2535741,4.9865237
2.2615152,5.0106944
2.2695125,5.0349958
2.2775665,5.0594296
2.2856779,5.0839974
2.2938473,5.108701
2.3020753,5.1335421
2.3103626,5.1585224
2.3187097,5.1836437
2.3271173,5.2089079
2.3355862,5.2343166
2.3441169,5.2598717
2.3527101,5.2855752
2.3613666,5.3114288
2.370087,5.3374346
2.3788721,5.3635943
2.3877226,5.3899101
2.3966391,5.4163838
2.4056225,5.4430175
2.4146735,5.4698132
2.4237928,5.496773
2.4329813,5.523899
2.4422397,5.5511934
2.4515689,5.5786581
2.4609696,5.6062956
2.4704427,5.6341079
2.479989,5.6620973
2.4896093,5.6902661
2.4993046,5.7186166
2.5090757,5.7471512
2.5189235,5.7758722
2.5288489,5.8047821
2.5388528,5.8338832
2.5489362,5.8631782
2.5591,5.8926694
2.5693452,5.9223595
2.5796727,5.9522511
2.5900836,5.9823468
2.6005789,6.0126493
2.6111595,6.0431613
2.6218267,6.0738856
2.6325813,6.1048249
2.6434245,6.1359822
2.6543575,6.1673604
2.6653812,6.1989623
2.6764969,6.2307909
2.6877057,6.2628493
2.6990087,6.2951407
2.7104072,6.327668
2.7219025,6.3604345
2.7334956,6.3934435
2.7451879,6.4266981
2.7569807,6.4602019
2.7688752,6.4939581
2.7808728,6.5279702
2.7929748,6.5622418
2.8051826,6.5967764
2.8174976,6.6315776
2.8299213,6.6666492
2.8424549,6.7019949
2.8551001,6.7376185
2.8678583,6.7735239
2.880731,6.8097151
2.8937198,6.8461961
2.9068263,6.882971
2.920052,6.920044
2.9333986,6.9574193
2.9468678,6.9951012
2.9604613,7.0330942
2.9741807,7.0714027
2.9880279,7.1100313
3.0020047,7.1489846
3.0161128,7.1882674
3.0303541,7.2278844
3.0447306,7.2678407
3.0592441,7.3081411
3.0738967,7.3487907
3.0886903,7.3897948
3.1036269,7.4311587
3.1187088,7.4728877
3.1339379,7.5149873
3.1493165,7.557463
3.1648468,7.6003207
3.180531,7.6435662
3.1963714,7.6872053
3.2123704,7.731244
3.2285304,7.7756887
