wl,n
6.1,5.7069
6.1051,5.7084
6.1101,5.7098
6.1152,5.7113
6.1202,5.7127
6.1253,5.7141
6.1303,5.7156
6.1354,5.717
6.1404,5.7184
6.1455,5.7198
6.1505,5.7212
6.1556,5.7226
6.1606,5.724
6.1657,5.7254
6.1707,5.7268
6.1758,5.7282
6.1808,5.7296
6.1859,5.731
6.1909,5.7324
6.196,5.7337
6.201,5.7351
6.2061,5.7365
6.2111,5.7378
6.2162,5.7392
6.2212,5.7405
6.2263,5.7419
6.2313,5.7432
6.2364,5.7446
6.2414,5.7459
6.2465,5.7472
6.2515,5.7486
6.2566,5.7499
6.2616,5.7512
6.2667,5.7525
6.2717,5.7538
6.2768,5.7551
6.2818,5.7564
6.2869,5.7577
6.2919,5.759
6.297,5.7603
6.302,5.7616
6.3071,5.7629
6.3121,5.7642
6.3172,5.7654
6.3222,5.7667
6.3273,5.768
6.3323,5.7692
6.3374,5.7705
6.3424,5.7717
6.3475,5.773
6.3525,5.7742
6.3576,5.7754
6.3626,5.7767
6.3677,5.7779
6.3727,5.7791
6.3778,5.7804
6.3828,5.7816
6.3879,5.7828
6.3929,5.784
6.398,5.7852
6.403,5.7864
6.4081,5.7876
6.4131,5.7888
6.4182,5.79
6.4232,5.7911
6.4283,5.7923
6.4333,5.7935
6.4384,5.7947
6.4434,5.7958
6.4485,5.797
6.4535,5.7981
6.4586,5.7993
6.4636,5.8004
6.4687,5.8016
6.4737,5.8027
6.4788,5.8039
6.4838,5.805
6.4889,5.8061
6.4939,5.8072
6.499,5.8083
6.504,5.8095
6.5091,5.8106
6.5141,5.8117
6.5192,5.8128
6.5242,5.8139
6.5293,5.815
6.5343,5.8161
6.5394,5.8171
6.5444,5.8182
6.5495,5.8193
6.5545,5.8204
6.5596,5.8214
6.5646,5.8225
6.5697,5.8235
6.5747,5.8246
6.5798,5.8257
6.5848,5.8267
6.5899,5.8277
6.5949,5.8288
6.6,5.8298
