wl,k
0.000620329,1.50E-05
0.00063554,1.64E-05
0.000651251,1.78E-05
0.000666961,1.94E-05
0.000683573,6.30E-06
0.000700184,6.90E-06
0.000717096,7.56E-06
0.000735008,8.30E-06
0.000752821,9.08E-06
0.000771033,9.94E-06
0.000790247,1.09E-05
0.00080926,1.19E-05
0.000829274,1.31E-05
0.000849788,1.43E-05
0.000870002,1.56E-05
0.000891217,1.71E-05
0.000913532,1.87E-05
0.000935647,2.04E-05
0.000958763,2.24E-05
0.00098228,2.45E-05
0.001005696,2.67E-05
0.001030713,2.92E-05
0.00105573,3.19E-05
0.001081748,3.48E-05
0.001108767,3.81E-05
0.001134785,4.16E-05
0.001162804,4.54E-05
0.001191825,4.97E-05
0.001220845,5.42E-05
0.001250865,5.92E-05
0.001281887,6.47E-05
0.001312908,7.06E-05
0.00134393,7.69E-05
0.001376953,8.36E-05
0.001410976,9.12E-05
0.001446,9.93E-05
0.001480024,0.000108
0.00151705,0.000118
0.001555076,0.000129
0.001593102,0.000141
0.001632129,0.000154
0.001672157,0.000167
0.001711184,0.000181
0.001755214,0.000198
0.001798244,0.000215
0.001840273,0.000233
0.001885304,0.000254
0.001932337,0.000277
0.001978369,0.000301
0.002027403,0.000327
0.002078438,0.000356
0.002128472,0.000386
0.002180508,0.00042
0.002235547,0.000458
0.002288583,0.000497
0.002345623,0.000149
0.002404664,0.000162
0.002461703,0.000176
0.002521745,0.000191
0.002584788,0.000208
0.00264483,0.000226
0.002708874,0.000245
0.00277592,0.000267
0.002845969,0.00029
0.002912015,0.000315
0.002989068,0.000344
0.003056114,0.000371
0.003133168,0.000404
0.003214224,0.00044
0.003291277,0.000477
0.003371332,0.000518
0.00345539,0.000563
0.003534445,0.000607
0.00362751,0.000662
0.00371457,0.000717
0.003805633,0.000777
0.003901699,0.000844
0.003988759,0.000909
0.004094833,0.000991
0.004190899,0.00107
0.00429297,0.00116
0.004399043,0.00125
0.004511121,0.00136
0.004612191,0.00146
0.004735276,0.00159
0.004846353,0.00171
0.004962433,0.00185
0.005084518,0.002
0.005212606,0.00216
0.0053477,0.00234
0.005465781,0.0025
0.005613884,0.00272
0.005743974,0.00292
0.005880068,0.00314
0.006022166,0.00337
0.00617227,0.00363
0.006329379,0.0039
0.006495494,0.00421
0.00663459,0.00447
0.006816716,0.00482
0.006969822,0.00511
0.007129933,0.00544
0.007298049,0.0058
0.007474171,0.00619
0.007658298,0.00662
0.007852432,0.00699
0.008056574,0.0073
0.008205677,0.0073
0.008405815,0.0076
0.008605954,0.0081
0.008806092,0.0089
0.009006231,0.0099
0.009206369,0.0107
0.009406507,0.0114
0.009606646,0.0111
0.009806784,0.0111
