wl,n
0.000620329,0.99993
0.00063554,0.99992
0.000651251,0.99992
0.000666961,0.99991
0.000683573,0.99991
0.000700184,0.99991
0.000717096,0.9999
0.000735008,0.9999
0.000752821,0.99989
0.000771033,0.99989
0.000790247,0.99988
0.00080926,0.99987
0.000829274,0.99987
0.000849788,0.99986
0.000870002,0.99985
0.000891217,0.99985
0.000913532,0.99984
0.000935647,0.99983
0.000958763,0.99982
0.00098228,0.99981
0.001005696,0.99981
0.001030713,0.9998
0.00105573,0.99979
0.001081748,0.99978
0.001108767,0.99976
0.001134785,0.99975
0.001162804,0.99974
0.001191825,0.99973
0.001220845,0.99971
0.001250865,0.9997
0.001281887,0.99968
0.001312908,0.99967
0.00134393,0.99965
0.001376953,0.99964
0.001410976,0.99962
0.001446,0.9996
0.001480024,0.99958
0.00151705,0.99956
0.001555076,0.99954
0.001593102,0.99951
0.001632129,0.99949
0.001672157,0.99946
0.001711184,0.99944
0.001755214,0.99941
0.001798244,0.99938
0.001840273,0.99935
0.001885304,0.99932
0.001932337,0.99928
0.001978369,0.99925
0.002027403,0.99921
0.002078438,0.99917
0.002128472,0.99913
0.002180508,0.99909
0.002235547,0.99904
0.002288583,0.99899
0.002345623,0.99894
0.002404664,0.99889
0.002461703,0.99884
0.002521745,0.99878
0.002584788,0.99872
0.00264483,0.99866
0.002708874,0.99859
0.00277592,0.99852
0.002845969,0.99845
0.002912015,0.99837
0.002989068,0.99828
0.003056114,0.99821
0.003133168,0.99812
0.003214224,0.99802
0.003291277,0.99792
0.003371332,0.99782
0.00345539,0.99771
0.003534445,0.9976
0.00362751,0.99747
0.00371457,0.99735
0.003805633,0.99722
0.003901699,0.99708
0.003988759,0.99695
0.004094833,0.99678
0.004190899,0.99663
0.00429297,0.99646
0.004399043,0.99629
0.004511121,0.99609
0.004612191,0.99592
0.004735276,0.9957
0.004846353,0.99549
0.004962433,0.99527
0.005084518,0.99504
0.005212606,0.99478
0.0053477,0.99451
0.005465781,0.99427
0.005613884,0.99395
0.005743974,0.99367
0.005880068,0.99336
0.006022166,0.99304
0.00617227,0.99269
0.006329379,0.99231
0.006495494,0.9919
0.00663459,0.99155
0.006816716,0.99108
0.006969822,0.99068
0.007129933,0.99024
0.007298049,0.9898
0.007474171,0.9893
0.007658298,0.9887
0.007852432,0.9882
0.008056574,0.9875
0.008205677,0.9871
0.008405815,0.9865
0.008605954,0.986
0.008806092,0.9855
0.009006231,0.9853
0.009206369,0.9854
0.009406507,0.9858
0.009606646,0.9868
0.009806784,0.9872
0.010006923,0.9874
0.010207061,0.9865
0.0104072,0.9851
0.010607338,0.9841
0.010807477,0.9848
0.011007615,0.9844
0.011207754,0.9822
0.011407892,0.9828
0.011608031,0.9867
0.011808169,0.9858
0.012008307,0.9839
0.012208446,0.9823
0.012408584,0.9813
0.012608723,0.9803
0.012808861,0.9794
0.013009,0.9789
0.013209138,0.9778
0.013409277,0.977
0.013609415,0.9761
0.013809554,0.9747
0.015010384,0.9634
0.016011077,0.9608
0.017011769,0.9562
0.018012461,0.9509
0.019013153,0.9458
0.020013846,0.9416
0.021014538,0.9386
0.02201523,0.9328
0.023015923,0.9271
0.024016615,0.9222
0.025017307,0.9164
0.026017999,0.9105
0.027018692,0.9207
0.028019384,0.9175
0.029020076,0.9137
0.030020769,0.913
0.031021461,0.907
0.032022153,0.901
0.033022845,0.895
0.034023538,0.888
0.03502423,0.882
0.036024922,0.877
0.037025615,0.87
0.038026307,0.866
0.039026999,0.858
0.040027691,0.851
0.041028384,0.845
0.042029076,0.839
0.043029768,0.833
0.044030461,0.827
0.045031153,0.822
0.046031845,0.817
0.047032537,0.813
0.04803323,0.808
0.049033922,0.804
0.04962433,0.733
0.050034614,0.803
0.051035307,0.804
0.051695763,0.753
0.052035999,0.806
