wl,k
1361,0.067399
1367,0.064796
1373,0.069686
1379,0.08071
1384,0.084492
1390,0.080662
1396,0.072653
1402,0.072645
1408,0.080205
1415,0.073722
1421,0.067618
1427,0.073365
1433,0.078184
1440,0.075595
1446,0.078227
1453,0.079491
1459,0.079508
1466,0.080976
1473,0.082907
1479,0.083202
1486,0.084225
1493,0.086699
1500,0.086382
1507,0.085965
1514,0.089028
1521,0.087698
1528,0.087614
1535,0.087399
1543,0.088868
1550,0.089124
1558,0.089638
1565,0.089127
1573,0.088012
1580,0.087613
1588,0.088312
1596,0.089046
1604,0.089978
1612,0.090114
1620,0.089391
1628,0.089366
1636,0.089885
1645,0.089662
1653,0.089336
1661,0.08937
1670,0.089365
1679,0.090138
1687,0.090896
1696,0.090989
1705,0.091233
1714,0.091575
1723,0.091604
1732,0.091487
1742,0.091555
1751,0.09199
1761,0.092485
1770,0.092411
1780,0.092331
1790,0.092623
1800,0.092696
1810,0.093062
1820,0.093522
1830,0.093653
1841,0.093623
1851,0.093695
1862,0.093877
1873,0.094046
1884,0.093979
1895,0.093919
1906,0.094147
1917,0.094554
1928,0.09482
1940,0.095027
1952,0.095368
1964,0.095791
1976,0.096166
1988,0.096472
2000,0.096806
2012,0.097352
2025,0.098047
2038,0.098541
2051,0.099117
2064,0.099999
2077,0.1008
2090,0.10173
2104,0.10294
2118,0.10392
2132,0.10452
2146,0.10502
2160,0.10519
2174,0.10496
2189,0.10422
2204,0.10288
2219,0.10164
2234,0.10072
2250,0.10005
2266,0.099795
2282,0.099878
2298,0.09973
2314,0.09964
2331,0.10051
2348,0.10126
2365,0.1018
2382,0.10224
2400,0.10331
2418,0.1048
2436,0.1067
2455,0.10965
2473,0.11308
2492,0.11623
2512,0.11915
2531,0.12174
2551,0.12372
2571,0.12501
2592,0.1261
2613,0.12732
2634,0.12838
2656,0.12933
2678,0.13028
2700,0.13113
2723,0.13199
2746,0.13271
2769,0.13341
2793,0.13416
2817,0.13471
2842,0.13514
2867,0.13569
2893,0.1362
2919,0.13657
2946,0.13691
2973,0.13714
3000,0.13729
3028,0.13739
3057,0.13757
3086,0.13775
3115,0.13769
3146,0.13761
3177,0.13767
3208,0.13768
3240,0.13753
3273,0.13731
3306,0.13708
3340,0.13685
3375,0.13671
3411,0.13647
3447,0.13608
3484,0.13572
3522,0.13532
3561,0.13495
3600,0.13466
3641,0.13433
3682,0.13393
3724,0.13349
3768,0.1331
3812,0.13276
3857,0.13245
3904,0.13215
3951,0.13186
4000,0.13161
4050,0.13149
4102,0.13146
4154,0.13156
4208,0.13186
4263,0.13196
4320,0.13205
4379,0.13251
4439,0.13314
4500,0.13394
4564,0.13552
4629,0.13937
4696,0.14669
4765,0.15572
4836,0.16338
4910,0.16983
4985,0.1731
5063,0.16815
5143,0.1588
5226,0.15358
5312,0.1539
5400,0.15668
5492,0.16002
5587,0.16309
5685,0.16531
5786,0.16575
5891,0.16376
6001,0.16022
6114,0.15715
6231,0.15762
6354,0.16063
6481,0.1657
6613,0.17205
6751,0.17917
6894,0.18581
7044,0.19308
7201,0.2003
7364,0.20756
7536,0.2149
7715,0.22301
7903,0.23292
8101,0.24561
8309,0.26266
8527,0.28667
8758,0.31153
9001,0.33427
9258,0.35744
9531,0.37976
9819,0.40088
10127,0.4238
10453,0.45138
10802,0.4878
11174,0.53031
11573,0.57399
12002,0.62314
12464,0.69194
12962,0.77478
13502,0.86479
14089,0.9555
14730,0.95554
