wl,n
1361,3.4228
1367,3.4198
1373,3.42
1379,3.4204
1384,3.4167
1390,3.4125
1396,3.4089
1402,3.4096
1408,3.4062
1415,3.4034
1421,3.4026
1427,3.4003
1433,3.3983
1440,3.395
1446,3.3917
1453,3.388
1459,3.384
1466,3.3849
1473,3.3854
1479,3.39
1486,3.3864
1493,3.3834
1500,3.3816
1507,3.3831
1514,3.3839
1521,3.3809
1528,3.3773
1535,3.3767
1543,3.3784
1550,3.3779
1558,3.3799
1565,3.3799
1573,3.3784
1580,3.3775
1588,3.3785
1596,3.3799
1604,3.3804
1612,3.3808
1620,3.3805
1628,3.381
1636,3.3822
1645,3.3826
1653,3.3823
1661,3.3828
1670,3.3835
1679,3.3837
1687,3.3839
1696,3.384
1705,3.3848
1714,3.3857
1723,3.3856
1732,3.3857
1742,3.386
1751,3.3862
1761,3.3862
1770,3.386
1780,3.3858
1790,3.3854
1800,3.3852
1810,3.385
1820,3.3845
1830,3.3841
1841,3.3836
1851,3.3832
1862,3.383
1873,3.3826
1884,3.3824
1895,3.3819
1906,3.3809
1917,3.3801
1928,3.3797
1940,3.3792
1952,3.3787
1964,3.3783
1976,3.3778
1988,3.3773
2000,3.3769
2012,3.3763
2025,3.3759
2038,3.3756
2051,3.3752
2064,3.3749
2077,3.3748
2090,3.3748
2104,3.3749
2118,3.3756
2132,3.3766
2146,3.3776
2160,3.3786
2174,3.3797
2189,3.3809
2204,3.3814
2219,3.3812
2234,3.3805
2250,3.3793
2266,3.3779
2282,3.3764
2298,3.3749
2314,3.3736
2331,3.372
2348,3.3705
2365,3.3688
2382,3.3671
2400,3.3652
2418,3.3631
2436,3.361
2455,3.3591
2473,3.3582
2492,3.3582
2512,3.3587
2531,3.3594
2551,3.3604
2571,3.3612
2592,3.3615
2613,3.3611
2634,3.3616
2656,3.3631
2678,3.3624
2700,3.3627
2723,3.3634
2746,3.3634
2769,3.3639
2793,3.3645
2817,3.3651
2842,3.3656
2867,3.3661
2893,3.3665
2919,3.367
2946,3.3675
2973,3.3678
3000,3.368
3028,3.3685
3057,3.3691
3086,3.3696
3115,3.3701
3146,3.3707
3177,3.3714
3208,3.3721
3240,3.3726
3273,3.3731
3306,3.3736
3340,3.3741
3375,3.3748
3411,3.3747
3447,3.3745
3484,3.3747
3522,3.3746
3561,3.3746
3600,3.3745
3641,3.3743
3682,3.3741
3724,3.3738
3768,3.3735
3812,3.3732
3857,3.3729
3904,3.3724
3951,3.372
4000,3.3714
4050,3.371
4102,3.3703
4154,3.3711
4208,3.3726
4263,3.3683
4320,3.365
4379,3.366
4439,3.3657
4500,3.364
4564,3.3614
4629,3.358
4696,3.3557
4765,3.3572
4836,3.3623
4910,3.37
4985,3.3814
5063,3.3927
5143,3.3964
5226,3.3935
5312,3.3903
5400,3.3893
5492,3.3903
5587,3.3934
5685,3.398
5786,3.4024
5891,3.4049
6001,3.4064
6114,3.4034
6231,3.3993
6354,3.397
6481,3.3951
6613,3.3931
6751,3.3906
6894,3.3871
7044,3.3858
7201,3.3845
7364,3.3827
7536,3.3827
7715,3.3848
7903,3.3813
8101,3.3752
8309,3.371
8527,3.3676
8758,3.3728
9001,3.3809
9258,3.3885
9531,3.3967
9819,3.4036
10127,3.4113
10453,3.4153
10802,3.4171
11174,3.4265
11573,3.4384
12002,3.4497
12464,3.455
12962,3.4745
13502,3.5188
14089,3.5946
14730,3.6562
