wl,k
6.1,5.0215
6.1051,5.0223
6.1101,5.0232
6.1152,5.0241
6.1202,5.0249
6.1253,5.0258
6.1303,5.0267
6.1354,5.0275
6.1404,5.0284
6.1455,5.0292
6.1505,5.0301
6.1556,5.0309
6.1606,5.0318
6.1657,5.0326
6.1707,5.0335
6.1758,5.0343
6.1808,5.0352
6.1859,5.036
6.1909,5.0369
6.196,5.0377
6.201,5.0386
6.2061,5.0394
6.2111,5.0402
6.2162,5.0411
6.2212,5.0419
6.2263,5.0427
6.2313,5.0436
6.2364,5.0444
6.2414,5.0452
6.2465,5.046
6.2515,5.0469
6.2566,5.0477
6.2616,5.0485
6.2667,5.0493
6.2717,5.0502
6.2768,5.051
6.2818,5.0518
6.2869,5.0526
6.2919,5.0534
6.297,5.0542
6.302,5.055
6.3071,5.0558
6.3121,5.0567
6.3172,5.0575
6.3222,5.0583
6.3273,5.0591
6.3323,5.0599
6.3374,5.0607
6.3424,5.0615
6.3475,5.0623
6.3525,5.0631
6.3576,5.0639
6.3626,5.0647
6.3677,5.0654
6.3727,5.0662
6.3778,5.067
6.3828,5.0678
6.3879,5.0686
6.3929,5.0694
6.398,5.0702
6.403,5.071
6.4081,5.0717
6.4131,5.0725
6.4182,5.0733
6.4232,5.0741
6.4283,5.0749
6.4333,5.0756
6.4384,5.0764
6.4434,5.0772
6.4485,5.078
6.4535,5.0787
6.4586,5.0795
6.4636,5.0803
6.4687,5.081
6.4737,5.0818
6.4788,5.0826
6.4838,5.0833
6.4889,5.0841
6.4939,5.0849
6.499,5.0856
6.504,5.0864
6.5091,5.0871
6.5141,5.0879
6.5192,5.0887
6.5242,5.0894
6.5293,5.0902
6.5343,5.0909
6.5394,5.0917
6.5444,5.0924
6.5495,5.0932
6.5545,5.0939
6.5596,5.0947
6.5646,5.0954
6.5697,5.0962
6.5747,5.0969
6.5798,5.0977
6.5848,5.0984
6.5899,5.0992
6.5949,5.0999
6.6,5.1006
