wl,k
6.1,20.086
6.1051,20.104
6.1101,20.121
6.1152,20.138
6.1202,20.155
6.1253,20.172
6.1303,20.189
6.1354,20.207
6.1404,20.224
6.1455,20.241
6.1505,20.258
6.1556,20.275
6.1606,20.292
6.1657,20.31
6.1707,20.327
6.1758,20.344
6.1808,20.361
6.1859,20.378
6.1909,20.395
6.196,20.413
6.201,20.43
6.2061,20.447
6.2111,20.464
6.2162,20.481
6.2212,20.498
6.2263,20.516
6.2313,20.533
6.2364,20.55
6.2414,20.567
6.2465,20.584
6.2515,20.601
6.2566,20.619
6.2616,20.636
6.2667,20.653
6.2717,20.67
6.2768,20.687
6.2818,20.704
6.2869,20.722
6.2919,20.739
6.297,20.756
6.302,20.773
6.3071,20.79
6.3121,20.807
6.3172,20.825
6.3222,20.842
6.3273,20.859
6.3323,20.876
6.3374,20.893
6.3424,20.91
6.3475,20.927
6.3525,20.945
6.3576,20.962
6.3626,20.979
6.3677,20.996
6.3727,21.013
6.3778,21.03
6.3828,21.048
6.3879,21.065
6.3929,21.082
6.398,21.099
6.403,21.116
6.4081,21.133
6.4131,21.15
6.4182,21.168
6.4232,21.185
6.4283,21.202
6.4333,21.219
6.4384,21.236
6.4434,21.253
6.4485,21.27
6.4535,21.288
6.4586,21.305
6.4636,21.322
6.4687,21.339
6.4737,21.356
6.4788,21.373
6.4838,21.39
6.4889,21.408
6.4939,21.425
6.499,21.442
6.504,21.459
6.5091,21.476
6.5141,21.493
6.5192,21.51
6.5242,21.528
6.5293,21.545
6.5343,21.562
6.5394,21.579
6.5444,21.596
6.5495,21.613
6.5545,21.63
6.5596,21.648
6.5646,21.665
6.5697,21.682
6.5747,21.699
6.5798,21.716
6.5848,21.733
6.5899,21.75
6.5949,21.767
6.6,21.785
